Taxonomy ID,Assembly ID
1312234,GCF_000367365.1
1364935,GCF_004765815.2
49283,GCF_028554415.1
1793963,GCF_024241155.1
63737,GCF_000020025.1
999550,GCF_000473205.1
1463920,GCF_000719335.1
238834,GCF_027594565.1
629265,GCF_000145845.2
1333538,GCF_001593765.1
1121939,GCF_000409775.1
485447,GCF_000948975.2
103728,GCF_024171925.1
394095,GCF_013155555.1
84531,GCF_000336385.2
272129,GCF_000180455.1
1590,GCF_029269595.1
210007,GCF_000007465.2
1359,GCF_027707045.1
1358,GCF_029023865.1
1307,GCF_029203915.1
1519471,GCF_001294345.1
1188,GCF_025677855.1
1396,GCF_029289385.1
155322,GCF_028765035.1
646534,GCF_900060185.1
2529855,GCF_008757435.1
1449976,GCF_000525635.1
47853,GCF_014205165.1
1048205,GCF_026340285.1
1463880,GCF_000720135.1
43658,GCF_005886805.2
394503,GCF_000022065.1
882378,GCF_000198775.1
58343,GCF_026342455.1
101571,GCF_902833085.1
267747,GCF_004136215.1
52259,GCF_014649655.1
1036171,GCF_022811565.1
38300,GCF_014070435.1
446469,GCF_000024925.1
1437453,GCF_001047315.1
1904044,GCF_003698085.1
51201,GCF_020093395.1
2816232,GCF_017349075.1
1223565,GCF_024721175.1
107635,GCF_000527115.1
1898,GCF_013004455.1
455432,GCF_015477105.1
257985,GCF_012222085.2
132474,GCF_024223055.1
1854574,GCF_021028635.1
2653857,GCF_009429145.1
246197,GCF_000012685.1
146536,GCF_001513975.1
1888,GCF_024752535.1
595536,GCF_002752655.1
1345,GCF_945873255.1
527030,GCF_000161675.1
2304196,GCF_009725235.1
74547,GCF_000011485.1
879089,GCF_000306905.1
1405,GCF_029024805.1
1053176,GCF_000399265.1
469371,GCF_000092645.1
1428626,GCF_000980885.2
1892,GCF_026340055.1
48936,GCF_001598575.1
161355,GCF_001653075.1
40318,GCF_017352335.1
66858,GCF_000720875.1
118161,GCF_000332195.1
118163,GCF_000317025.1
349520,GCF_014706575.1
33883,GCF_003339645.1
531310,GCF_900167435.1
1245473,GCF_000341225.1
1463881,GCF_000716335.1
1275,GCF_947492165.1
574,GCF_026010915.1
1463870,GCF_000721415.1
449441,GCF_001578075.1
1284,GCF_028748305.1
1596,GCF_029011805.1
53446,GCF_014650495.1
1216,GCF_000252425.1
52,GCF_001189295.1
475609,GCF_000307205.1
1907,GCF_002154375.1
68223,GCF_002028425.1
1286094,GCF_000414115.1
68570,GCF_029167025.1
1003195,GCF_000240165.1
358823,GCF_000696115.1
1463884,GCF_000720505.1
1380707,GCF_014299995.1
909613,GCF_003182415.1
1217657,GCF_000414075.1
67256,GCF_000720835.1
565073,GCF_003205575.1
2116518,GCF_003205615.1
394193,GCF_900110575.1
699184,GCF_000177295.1
485918,GCF_000024005.1
180865,GCF_002146815.1
1120936,GCF_000381885.1
1131935,GCF_000245555.1
641112,GCF_000174895.1
79264,GCF_004000785.1
749414,GCF_000092385.1
1214242,GCF_000444875.1
1579,GCF_029334915.1
527000,GCF_000161455.1
322159,GCF_020736685.1
1553907,GCF_000805335.1
183763,GCF_000826685.1
1267754,GCF_000338095.1
536229,GCF_000172815.1
265669,GCF_000008285.1
471871,GCF_000155085.1
267870,GCF_000599945.1
680198,GCF_000091305.1
35762,GCF_016863155.1
68187,GCF_014650775.1
1223523,GCF_017916255.1
525326,GCF_005886075.1
1428,GCF_028895365.1
1404,GCF_029222465.1
333849,GCF_000174395.2
1398,GCF_029339095.1
326423,GCF_000015785.2
226900,GCF_006094295.1
67364,GCF_021538815.1
1885,GCF_016921115.1
1816,GCF_014648415.1
69966,GCF_024205865.1
1912,GCF_026168105.1
703612,GCF_006094475.1
224308,GCF_024917115.1
645465,GCF_000162775.1
457428,GCF_000739105.1
100226,GCF_008931305.1
388467,GCF_000710505.1
449468,GCF_010196425.1
316435,GCF_021559835.1
1250520,GCF_000346145.1
455632,GCF_000010605.1
925777,GCF_000192065.1
463191,GCF_000154965.1
457431,GCF_000156455.1
452662,GCF_000091125.1
983917,GCF_000284255.1
132919,GCF_001894825.1
509190,GCF_000092285.1
1249662,GCF_000567945.1
573065,GCF_000175215.2
160490,GCF_000006785.2
413999,GCF_000063585.1
953739,GCF_021432215.1
1272,GCF_002250745.2
1314,GCF_029323775.1
1280,GCF_029335235.1
1309,GCF_029071925.1
1304,GCF_028325885.1
1886,GCF_026636035.1
1282,GCF_029211365.1
159743,GCF_008271705.1
1406,GCF_023586785.2
1156938,GCF_000265445.1
1292,GCF_029023845.1
1349,GCF_027533805.1
1360,GCF_025562955.1
857124,GCF_000339975.1
83302,GCF_016863035.1
443906,GCF_000063485.1
59310,GCF_027675465.1
1402,GCF_028857645.1
1599,GCF_028206175.1
182080,GCF_014138665.1
591159,GCF_000158955.1
272558,GCF_000011145.1
33940,GCF_021696955.1
420246,GCF_000015745.1
1293,GCF_026768435.1
405948,GCF_002564065.1
96241,GCF_028743795.1
479433,GCF_000024025.1
1335,GCF_028823545.1
1341,GCF_008803015.1
1245,GCF_028620295.1
1231377,GCF_000300795.2
1520,GCF_028335065.1
1160280,GCF_000307995.1
267872,GCF_002095975.1
46234,GCF_000312705.1
179408,GCF_000317475.1
42235,GCF_000383595.1
